,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,l,lepik,v,to *place s.t. (a mat; saucer; etc.) under s.t. at s.o.'s request,,,,,,balepik,,,,
,l,lepik,vi,to have *breakfast,,,,,,palepikang,,,,
,l,lepik,n,*breakfast; as it is laid out on the table,,,,,,lepi-lepik,,,,
,l,lepik,n,s.t. placed under another object (e.g.; placemat; wedge under a table leg; etc.) ; a *stand for pots; *trivet ; *anvil,,,,,,,,,,
,l,ler,n,*neck ; the length of the *neck; incl. the *nape and base of the *neck,,,,,body ; body,,ler pokona,,,
,l,lesa,n,*food (for the sultan),,,,,,balesa,,,,
,l,lesa,vi,to *eat,,,,a term used to invite court officials and nobles ; court,,,,,,
,l,les$1,n,*contribution; *share (in an expense); *dues,,,,,,,,,,
,l,les$2,n,the *frame of a door,,,,,house,,,,,
,l,leta,vi,to have a *hare-lip,,,,,body,,,,,
,l,lewang,n,a stationary; erect *blade used to husk coconuts <*husker>,,,,,tool,,,,,
,l,lia,vi,to have *vision; to be able to see ; to *perceive; to have a *viewpoint,kulia sodo kam botangi silng ka ba: itu| In my view; you should put a shed up,,,,,,,,,
,l,lia,v,to *see s.t.,sarumanta haiku de mana ni alengo asar kita lia mo| So; where is that friend of ours? At,,,,,liai,,,,
,l,lia,v,to *look at s.t. for s.o.,,,,,,lia akang,,,,
,l,lia,v,to look after s.t. at s.o.'s request,,,,,,balia,,,,
,l,lia,vi,to engage in *view|ing and *gazing ; to *copy from s.o.'s test,,,,,,balia-lia:ng,,,,
,l,lia,vi,to see e.o. ; to be *close enough to see e.o. (of distances; e.g. between houses),,,tauli,,,lia-lia,,,,
,l,lia,v,to *look repeatedly or for some time at s.t.; to *gaze,talia-lia ka bawa mini lao-lao de karang-karang| We looked steadily downwards; like,,,,,,,,,
,l,liar,vi,*wild; *undomesticated,,,,,,,,,,
,l,licing,vi,wiped *clean; without a crumb left ; *smooth; without thorns or protrusions,,,ambulung licing ; lumba-lumba licing,,,,,,,
,l,lida,n,*tongue ; to speak incorrectly; to experience a *slip~of~the~tongue,,,peto lidana,,body,,lida nalipat,,,
,l,lida bebe,n,k.o. marsh *plant; [%*Monochoria~vaginalis|] ; k.o. *fern; perhaps [%*Crypsinus~stenophyllus|],,,,,plant,,,,,
,l,lida buaya,n,k.o. *plant; the *aloe; [%*Aloe~vera|],,,,,plant,,,,,
,l,lidi,n,dry *midrib of a palm *frond or *leaf,,,,,,,,,,
,l,lika-lika,n,k.o.*trap in which the prey stumbles into a shallow *pit where a *snare for its leg has ; k.o. baited snare which is jerked by the hunter when the prey; usually a bird; comes to,,,,,,nalika-lika,,,,
,l,lika-lika,vi,to have *err|ed; *stumble|d or *falter|ed,,,tamboang,,,,,,,
,l,lilap,n,*lightning,,,,,,balilap,,,,
,l,lilap,vi,to be characterized by a flash of lightning,,,,,,balilap-lilap,,,,
,l,lilap,vi,to be characterized by continuous flashes of lightning,,,,,nat phen,,,,,
,l,lilis,,,,,,,,lilisi,,,,
,l,lilis,v,to *slice around the edge of coconut flesh,,,,,,lilis akang,,,,
,l,lilis,v,to *slice around s.t. for s.o. else,,,,,,,,,,
,l,lilit,,,,,,,,liliti,,,,
,l,lilit,v,to *wrap~around s.t.; to *en*circle s.t.,Muliliti kapalaku nang salia hadiki. |Please wrap some cloth around my head.,,,,,lilit akang,,,,
,l,lilit,v,to *coil s.t. at s.o.'s request,,,,,,balilit,,,,
,l,lilit,vi,to be coiled around; e.g. a snake on a branch,,,,,,palili-lilit,,,,
,l,lilit,vi,to go in circles,,,,,,,,,,
,l,lima,num,*five ; *fifty,,,,,,,lima pulu,,,
,l,limo,n,various k.o. *citrus *fruit; fam. *Rutaceae ; k.o. sweet *citrus; possibly [%*Citrus~aurantiaca|] ; k.o. small *citrus; *sweet~orange; [%*Citrus~sinensis|] ; k.o. *citrus with a bumpy skin; [%*Citrus~hystrix|] ; k.o. large *citrus;  *pomelo; [%*Citrus~maxima|] ; k.o. *citrus; *lime; [%*Citrus~aurantiifolia|] ; k.o. *citrus with a bumpy skin ; k.o. *citrus with a bumpy skin ; k.o. *citrus with fragrant leaves,,,,,plant ; plant ; plant ; plant ; plant ; plant ; plant ; plant ; plant,,limo amas ; limo cuit ; limo joro puru ; limo kapal ; limo nipis ; limo panycungut ; limo pucat ; limo soar,,,
,l,limpa,n,*spleen,,,,,body,,,,,
,l,limpung,,,,,,,,balimpung,,,,
,l,limpung,vi,to *collect in large numbers; to form a *crowd,Pasi balimpung de babide. | They formed a crowd at the shrine.,,,,,palimpungang,,,,
,l,limpung,n,grand *meeting~place; *meeting~hall,,,,,,,,,,
,l,lindung,n,late *afternoon,,,,,,,,,,
,l,lindur,n,*earthquake; *tremor; *after-shock,,,,,nat phen,,,,,
,l,lintang,,,,,,,,lintangi,,,,
,l,lintang,vt,to cause s.t. to *cross; to *put s.t. on an angle against s.t.,muala kumbar bena lintangi ka sana| Take some sago midribs and put them on an angle,,,,,lintang akang,,,,
,l,lintang,vt,to *put s.t. on an angle or *across s.t. (at s.o.'s request),,,,,,linta-lintang,,,,
,l,lintang,n,*mid-section; *mid-course; in the *middle,,,,,,,,,,
,l,lingga-lingga,n,k.o. *tree,,,,,plant,,,,,
,l,linggang,,,,,,,,linggangi,,,,
,l,linggang,v,to *tilt s.t.,,,,,,linggangi akang,,,,
,l,linggang,v,to tilt s.t. at s.o.'s request,,,,,,linggang akang,,,,
,l,linggang,v,to tilt s.t. ; to *tip a small boat left then right forcefully in order to remove water,,,,,,balinggang,linggang akang nyjong,,,
,l,linggang,vi,to tilt and *tip; to be *unstable (e.g. a boat in water),,,balibalinggarang,,,,,,,
,l,linggua,n,k.o. *tree which yields house and furniture timber,,,,,plant,,,,,
,l,lingkar,num con,*coil; *strand; counter of ropes; chains; necklaces; etc.,,,,,,,,,,
,l,lingkar,vt,to *coil~up (rope; etc.),,,,,,,,,,
,l,linyca,n,k.o. medium-sized black *louse which infests the hair; possibly a stage in the growth,,,,,insect,,,,,
,l,lipa-lipat,n,the *fold of the knee or elbow (i.e. the back of those joints),,,,,body,,,,,
,l,lipas,n,k.o. *insect; the *cockroach; suborder *Blattaria,,,,,insect,,,,,
,l,lipat,v,to *fold ; to *beat s.o. up,,,,,,lipati,,,,
,l,lipat,v,to fold s.t. for s.o.,,,,,,lipat akang,,,,
,l,lipat,v,to fold s.t. at s.o.'s request,,,,,,balipat,,,,
,l,lipat,vi,to engage in folding s.t. ; to *sit with legs folded; haunches resting on the heels <*squat>,balipat pondo| to fold shirts ( as a chore),,,,,nalipat,,,,
,l,lipat,vi,to be unintentionally folded,,,,,,nalipat-lipat,,,,
,l,lipat,v,to be *fold|ed back many times; to be all folded and *crease|d ; to have *fall|en backwards repeatedly,ibobar sigodo nalipat-lipat de itu | He beat them until they crumbled; folded over; right,,,,,,,,,
,l,lipu,n,*village; *town (main village) ; authentic *Bacanese,anaseni ba: ba: baku de lipu ka| Some youth took it to carry sago to (Amasing) town; I guess.,,kampong,,,,lipu puna,,,
,l,lir,n,*sap exuded from certain plants; incl. sago; after they have been notched or slashed,,,,,,balr,,,,
,l,lir,vi,to *exude sap or any viscous liquid,karang bido ni balr mo e| Staghorn coral does not exude liquids (when burned to,,,,,,,,,
,l,litas,vi,*shaved *bald (of heads),,,,,,,,,,
,l,liu,,,,,,,,baliu,,,,
,l,liu,vi,to have an irresistible *desire for certain foods; to *crave (of pregnant women),,,,,,baliu akang,,,,
,l,liu,vi,to crave s.t. specific,,,,,,,,,,
,l,liur,n,*spittle; *phlegm,,,,,body,,,,,
,l,liwar,vi,*wide,lombo-lombona cengke alengo takore liwara sameter| Those pits for planting clove,,,,,paliwari,,,,
,l,liwar,v,to *widen s.t.,paliwari kas| to widen an armoire,,,,,,,,,
,l,liwat,v,to *cook (rice),,,,,,,,,,
,l,liwat,vi,*cooked,pamasik liwat | cooked rice,,,,,liwati,,,,
,l,liwat,v,to *cook (rice) for s.o.,,,,,,liwat akang,,,,
,l,liwat,v,to cook (rice) at another's request,,,,,,liwati akang,,,,
,l,liwat,v,to cook (rice) for s.o. at another's request,,,,,culinary,baliwat,,,,
,l,liwat,vi,to be engaged in cooking rice,,,masak,,,,,,,
,l,loa,vi,to be *bent out of shape ; to be *straight (when it should be curved); e.g. of fish hooks,,,,,,loai,,,,
,l,loa,v,to *straighten s.t. a bit for s.o.,,,,,,loai akang,,,,
,l,loa,v,to *straighten s.t. at s.o.'s request,,,,,,loa akang,,,,
,l,loa,v,to straighten s.t. at s.o.'s request,,,,,,paloai,,,,
,l,loa,v,to straighten s.t. carefully,,,,,,paloai akang,,,,
,l,loa,v,to straighten s.t. carefully at s.o.'s request,,,,,,paloa akang,,,,
,l,loa,v,to straighten s.t. completely; to bend s.t. straight,ia tala mupaloa akang kawil bo: jarong| He straightened out that hook into a (cobbler's),,benga,,,,,,,
,l,loa-loa,adv,*plain; without fixings; i.e. *sugarless (of tea) ; without reservation; without terms; *unqualifiedly,makang loa-loa | eat but without fish ; longgar loa-loa | drink tea without cakes ; Taumbuk loa-loa mitu mo. | We don't ask for it without terms like that.,,,,,,,,,
,l,loang,n,k.o. *tree; the *Flamboyant or *Flame~tree; [%*Delonix~regia|] ; k.o. *tree,,,,,plant ; plant,,loang papua,,,
,l,lobak,n,*turnip; turnip *greens; [%*Brassica~campestris|],,,,,,,,,,
,l,lobang,n,*shavings and *curls left from planing wood,,,,,,,,,,
,l,lobi,vi,to be *overcast; to be *cloudy,,,,,,lobi-lobi,,,,
,l,lobi,n,*shade,,,,,,balobi-lobi,,,,
,l,lobi,vi,to seek *shade (e.g. beneath a tree),,,,,,,,,,
,l,lobong,v,to *bury s.t. ; to *hide s.t. underground ; to *plant s.t. (seeds; etc.),,,,,,lobong akang,,,,
,l,lobong,v,to *bury or *plant s.t. at s.o.'s request,,,,,,balobong,,,,
,l,lobong,vi,to be engaged in *burying or *planting,,,,,,nalobong,,,,
,l,lobong,vi,*en*mired; *stuck in mud,,,,,,,,,,
,l,loco,v,to *push~out (e.g. cake from a mold) ; to *masturbate,,,,,,baloco,,,,
,l,loco,vi,to be engaged in masturbating,,,,,,balolocoang,,,,
,l,loco,vi,to engage in mutual genital stimulation,,,,,,,,,,
,l,lode,n,k.o. vegetable dish. featuring unripe *jackfruit and a light coconut cream sauce,,,,,,,,,,
,l,lofra,,,,,lopra,,,,,,,
,l,loga-loga,n,k.o. oil *taper,,,,,,,,,,
,l,logang,n,*thunder|ous *rumble,,,,,nat phen,,,,,
,l,logas,vi,*burned to a crisp; *destroyed by fire,,,,,,,,,,
,l,logos,n,*bin for storing unhusked rice,,,,,utensil,,,,,
,l,lohi,v,to *penetrate s.o. in sexual intercourse; to have *sex with s.o.,,,,,,lohi akang,,,,
,l,lohi,v,to *penetrate s.o. in *coitus at s.o.'s request,,,,,,balohi,,,,
,l,lohi,vi,to engage in *sexual~intercourse,,,,,,,,,,
,l,lolahi,n,*curse,Lolahi mukanai kau. | May a curse befall you!,,,,,lolahi akang,,,,
,l,lolahi,v,to *curse s.o.; to *revile s.o.,manusia kita kapo mo ilolahi akang kita | People; if we don't show up; will just revile,,,,,,,,,
,l,loleo,n,*bay; *cove,,,,,,,,,,
,l,lolot,n,k.o. *fish,,,,,fish,,,,,
,l,lolng,v,to *hold in both arms; esp. a child,,,,,,,,,,
,l,lomba,,,,,,,,balomba-lomba,,,,
,l,lomba,vi,to engage in a competition <*compete>,,,,,,babalomba,,,,
,l,lomba,vi,to be part of a contest in which persons compete,,,,,,balobalomba:ng,,,,
,l,lomba,vi,to compete against e.o. (of many persons),,,,,,,,,,
,l,lombang,n,k.o. *palm; fam. *Palmaceae,,,,,,,,,,
,l,lombo-lombo,n,*hole on a horizontal surface ; *pit ; *foxhole; bomb *shelter,lombo-lombona cengke| the pit for planting clove seedlings,,lopra,,,,,,,
,l,lombut,vi,*soft,,,,,,palombuti,,,,
,l,lombut,v,to *soften s.t.; to *mash s.t. (e.g. bananas),,,,,,,,,,
,l,lompa-lompa,n,k.o. *fish; the *king~*snapper or *rosy~*job-fish; [%*Aprion~microlepis|],,,,,fish,,,,,
,l,lompa$1,n,k.o. *fish; *anchovy; perhaps [%*Engraulis~australis|],,,,,fish,,,,,
,l,lompa$2,,,,,duriang mata-mata lompa,,,,,,,
,l,londur,vi,to *walk with an erratic *sway (usually due to a congenital defect),,,,,,,,,,
,l,lontar$1,v,to *throw s.t.,,,,Arch.,,,,,,
,l,lontar$2,n,k.o. *palm; the *palmyra palm [%*Borassus~flabellifer|] ; k.o. trapezoid-shaped *sail made of palm leaves,,,barawango,Arch.,,,,,,
,l,lonteng,n,*ceiling ; *attic,,,,,house,,,,,
,l,longgar$1,v,to *drink s.t.,,,,,,longgari,,,,
,l,longgar$1,v,to assist s.o. to drink; to *serve s.o. a beverage ; to *drink s.t.,pasi mulonggari anaseni te | They served the fellows tea ; Longgari te barenti... | After they've drunk the tea;...,,,,,longgar akang,,,,
,l,longgar$1,v,to serve beverages at s.o.'s request,,,,,,longgari akang,,,,
,l,longgar$1,v,to serve s.o. a beverage at another's request,kau mulonggari akang ia kofi | Serve her coffee (for me),,,,,balonggar,,,,
,l,longgar$1,vi,to *join in a ceremonial meal (featuring beverages) as part of the wedding ritual,,,,,,palonggar,,,,
,l,longgar$1,n,chronic *drinker,,,,,,palonggarang,,,,
,l,longgar$1,n,o.'s customary (every day) *glass or *cup,,,,,,,,,,
,l,longgar$2,v,*loose-fitting,,,lungga,,,,,,,
,l,longkat,,,,,,,,longkat akang,,,,
,l,longkat,v,to *chip off the edge of s.t.,Ir; kana: kau mulongkat akang dinding itu? | Ir; why did you chip the edge off of that,,,,,nalongkat,,,,
,l,longkat,vi,to be *chipped ; to inadvertently *expectorate,,,,,,,,,,
,l,longlng,,,,,saya longlo/ng,,,,,,,
,l,long$1,n,*lung,,,tama long,Casual,,,,,,
,l,long$2,,,,,,,,balng,,,,
,l,long$2,vi,to *eat,,,,Respectful; used to address elders,,palongang,,,,
,l,long$2,n,eating *utensils; *crockery,,,,,,,,,,
,l,lonycar,n,side *yard; space between houses,,,,,,,,,,
,l,lopa-lopa,n,tobacco *pouch,,,,,,,,,,
,l,lopi,n,k.o. *ray; the *Devil~ray; [%*Manta~alfredi|],,,,,fish,,,,,
,l,lopis,n,k.o. *sweetmeat made with glutinous rice boiled in a banana leaf wrapper and served,,,,,,,,,,
,l,lopra,n,air raid *shelter; *foxhole,,,lombo-lombo,Arch,,,,,,
,l,lopu,n,k.o. *fish; *stonefish; [%*Scorpaenopsis~cirrhosa|] ; k.o. *fish; probably the *Guam~*scorpionfish; [%*Scorpaenodes~guamensis|] ; k.o. *fish; the *dwarf~*lionfish [%*Dendrochirus~zebra|],,,,,fish ; fish,,lopu baloya ; lopu karukus,,,
,l,lor,vi,to *dissolve in water (e.g. sago flour; a medicinal potion; etc.),,,,,,,,,,
,l,lori,n,various k.o. *snipe|s; fam. *Scolopacidae; and *plover|s; fam. *Charadriidae <*bird> ; the *long-billed~*curlew; similar to the *eastern~curlew; ; the *whimbrel; [%*Numenius~phaeopus|] <*bird>,,,,,bird ; bird ; bird,,lori pongo ; lori sawang,,,
,l,los,v,to *loosen s.t. (rope; etc.),,,,,,,,,,
,l,los,vi,to be *loose (of ropes),,,,,,,,,,
,l,losiang,n,*arthritis; *rheumatism,,,marusak,,health,,,,,
,l,losu-losung,n,*whirlpool,,,,,nat phen,,,,,
,l,losung,n,*pestle ; *mortar,,,losu-losung,,utensil ; utensil,,losung anaka,,,
,l,lotok,n,*bedroom ; the *room in which are kept the royal paraphernalia (e.g. crown; sword and,,,,Arch,house,,lotok puji,,,
,l,lotu,vi,to *shatter; to *explode,Bubuena lindur po bukit lotu. |Right after the earthquake; the mountain exploded.,,,,,lotu-lotu,,,,
,l,lotu,v,k.o. pop *gun made of bamboo,,,,,,balotu,,,,
,l,lotu,vi,to *eat,,,aur lotu lotu,Coarse,,,,,,
,l,loya,n,*sail,,,mbarawak loya,,boat,baloya,,,,
,l,loya,vi,to be equipped with a sail ; to go *sailing ; to *depart; to *embark on a trip,,,lopu baloya,,sailing,,,,,
,l,loyang,n,*tray,,,,,,,,,,
,l,lower,n,*diaper,,,,,,,,,,
,l,luang,vi,to *go away; to *flee,manusia samaskali luang de kayuang | Everyone fled to the jungle,,,,,luang-luang,,,,
,l,luang,vi,to flee repeatedly,,,,,,luang akang,,,,
,l,luang,v,to *flee with s.t. ; to *elope with s.o.,ia tala muluang akang anaka urang | He has eloped with s.o.'s daughter.,,,,,baluang akang,,,,
,l,luang,vi,to *elope,pasi dua baluang akang de hakim | The two of them eloped and sought refuge at the,,,,,,,,,
,l,luar,n,*exterior; *outside,,,,,,,,,,
,l,luas,vi,*spacious,,,,,,,,,,
,l,lubok,v,to *tread on s.t.,alengo kani mulubok paku kajanga mo bodito | A few minutes ago Kani stepped on a,,,,,lubok akang,,,,
,l,lubok,v,to *step~on s.t. at s.o.'s request,,,,,,balubok,,,,
,l,lubok,vi,to be in the process of treading ; a *wedding ritual in which the bride and groom step on the earth for the first time as a,,,,,,,balubok lecak,,,
,l,lucur,adv,very *fast,,,,,,nalucur,,,,
,l,lucur,vi,to have *slip|ped and *fall|en down,,,,,,,,,,
,l,luda,n,*spittle; *saliva,,,,,body,ludai,,,,
,l,luda,v,to *spit on s.t. or s.o. ; to *treat a pain by spitting on the affected area,ludai tangangku hadiki mangkali manusia mupabua| Please spit on my (sore) arm;,,,,spiritual,ludai akang,,,,
,l,luda,v,to treat some affected body area by spitting on it at s.o.'s request,,,,,spiritual,baluda,,,,
,l,luda,vi,to *spit,,,,,,baludana,,,,
,l,luda,n,a habit of spitting; the act of spitting,,,,,,baluda-baluda,,,,
,l,luda,vi,to repeatedly spit,,,,,,balubaluda:ng,,,,
,l,luda,vi,to engage in spitting at e.o. (e.g. children playing),,,,,,,,,,
,l,luka,n,*wound,,,,,,lukai,,,,
,l,luka,v,to *offend s.o.; to wound or *hurt s.o.'s feelings,pasi mubei maaf mo sabap tala mulukai nyawana pasi| They did not forgive him,,,,,,,,,
,l,luli,n,a *concoction drunk to counter the effects of a hex sign; this spiritual and physical *antidote must be administered by the person who made the hex sign ; a topical *antidote made by collecting the *foam tossed up by waves on the seashore; this is applied to the area of the body affected by the hex,,,,,,luli akang,,,,
,l,luli,v,to *deflect the negative effects of a hex sign by pouring a concoction on those items protected by the the hex sign,,,uru,,spiritual,,,,,
,l,lulung,v,to *roll~up s.t. flat and broad (e.g. a mat),,,,,,lulungi,,,,
,l,lulung,v,to roll s.t. up for s.o.,,,,,,lulung akang,,,,
,l,lulung,v,to roll s.t. up at another's request,,,,,,balulung,,,,
,l,lulung,vi,to be engaged in rolling up s.t. (e.g. rope),,,,,,,,,,
,l,lumba-lumba,n,*dolphin or *porpoise; fam. *Delphinidae ; k.o. *dolphin ; k.o. spotted *dolphin ; k.o. large *dolphin,,,,,sea creature ; sea creature ; sea creature ; sea creature,,lumba-lumba licing ; lumba-lumba batitik ; lumba-lumba papat,,,
,l,lumbang,,,,,durian bapalumbang,,,,,,,
,l,lumbar,,,,,,,,lumbari,,,,
,l,lumbar,v,to *bathe s.o.,Ia mulumbari adina ia. | He bathed his younger sibling.,,,,,balumbar,,,,
,l,lumbar,vi,to *bathe ; a *ritual *bath undertaken at seven different wells as part of a pledge made when ill or ; an annual *ritual (formerly held during %Sapar| month) during which participants,,,,,,balulumbarang,balumbar pitu sumur ; balumbar sapar,,,
,l,lumbar,vi,to *bathe in large numbers; often with mutual splashing; for example during the,,,,,,palumbarang,,,,
,l,lumbar,n,bathing place ; *pig *wallow,,,,,,,bawi palumbaranga,,,
,l,lumbut-lumbut,n,*moss; class *Musci; and *lichen,,,lumu-lumut,,plant,,,,,
,l,lumis,vi,to *eat sour food; to prefer sour food,Uria cece lumis laku. |Uriah; don't eat so much sour food.,,,,,,,,,
,l,lumpa-lumpat,n,k.o. *insect; perhaps the*mud-hopper ; k.o. *insect,,,,,insect ; insect,,lumpa-lumpat dolong,,,
,l,lumpat,,,,,,,,lumpati,,,,
,l,lumpat,v,to *jump across s.t.,Ia mulumpati paisu. | He leaped across the ditch.,,,,,lumpat akang,,,,
,l,lumpat,v,to *run~off with s.t. ; to bear away s.t. in a hurry; to *snatch or *grab s.t.,Nyany ma lumpat akang lao. | The cat ran off with the fish. ; yo bapanggil pap ka lau ka pap mulumpat akang salia ni e| So call father or have,,,,,balumpat,,,,
,l,lumpat,vi,to *run,itu torus manusia balumpat de lombo-lombo| Then it was that people straightaway ran,,,,,balumpa-lumpat,,,,
,l,lumpat,vi,to run for some distance,,,,,,malumpat,,,,
,l,lumpat,vi,to *run,,,malumpat,,,,,,,
,l,lumu-lumut,n,*moss,,,,,,,,,,
,m,ma,pn,*he; *she; *it,,a marker with third person pronoun to specify the agent,mu-,,,,,,,
,m,maaf,n,*forgiveness,kuumbuk maaf de kau| I ask forgiveness of you,,,,,maafi,,,,
,m,maaf,v,to *forgive s.o.,,,,,,bamaaf-maafang,,,,
,m,maaf,vi,to forgive e.o.,,,,,,bamabamaafang,,,,
,m,maaf,vi,to forgive e.o. ( of several people),,,,,,,,,,
,m,maangkup,vi,to *eat,,,makang,Slang,,,,,,
,m,maaya,vi,to give the *command|s to s.o. in certain dances; to *call dances,,,,,,,,,,
,m,mabanek,,,,,ngaaeka,,,,,,,
,m,maba:ngat,vi,to get *heated~up; i.e.; to get *worrisome; to look like *trouble,,,angat,,,,,,,
,m,macang,n,*variety,kayu kalero hanya tolu macang| There are only three kinds of wood suitable for lime,,,,,,,,,
,m,macang-macang,vi,*various; diverse,,,,,,,,,,
,m,macang-macang,pn,various things,idoa:kang kita macang-macang| They bring down on us curses about various aspects,,rupa-rupa ; bermacam,,,,,,,
,m,madu$1,n,*bee; superfam. *Apoidea ; *honey,,,,,insect ; food,,,,,
,m,madu$2,n,o.'s *co-wife,,,,,,bamadu,,,,
,m,madu$2,vi,to share a husband; to be co-wives <*polygamy>,,,,,,bamadu akang,,,,
,m,madu$2,vi,to engage in cheating on o.'s wife; to engage in extramarital *infidelity (of males),si mat bamadu akang binina ia nang alima| Mat is cheating on his wife by (carrying on,,,,,pamadu akang,,,,
,m,madu$2,v,to *cheat on s.o. (o.'s wife); to take up with another woman to s.o.'s disadvantage,,,,,,,,,,
,m,maengket,vi,to *go,,,balampo,Slang,,,,,,
,m,magarp,n,the *time of the Islamic *prayer ritual at *sunset,magarp ni kita lia mo| At around sunset we didn't see him either.,,,,spiritual,,,,,
